admit,gre,gpa,rank,gender
0,340,3.15,3,M
0,580,3.57,3,F
0,380,3.33,4,M
0,540,3.94,3,M
1,660,3.95,2,M
1,740,2.97,2,F
1,700,3.56,1,M
0,480,3.13,2,M
0,400,2.93,3,F
0,480,3.45,2,F
0,680,3.08,4,M
0,420,3.41,4,M
0,360,3,3,M
0,600,3.22,1,F
0,720,3.84,3,F
0,620,3.99,3,M
1,440,3.45,2,M
0,700,3.72,2,M
1,800,3.7,1,F
0,340,2.92,3,F
1,520,3.74,2,M
1,480,2.67,2,M
0,520,2.85,3,M
0,500,2.98,3,F
0,720,3.88,3,F
0,540,3.38,4,F
1,600,3.54,1,F
0,740,3.74,4,F
0,540,3.19,2,F
0,460,3.15,4,F
1,620,3.17,2,M
0,640,2.79,2,M
0,580,3.4,2,M
0,500,3.08,3,M
0,560,2.95,2,F
0,500,3.57,3,F
0,560,3.33,4,F
0,700,4,3,M
0,620,3.4,2,M
1,600,3.58,1,M
0,640,3.93,2,F
1,700,3.52,4,M
0,620,3.94,4,M
0,580,3.4,3,F
0,580,3.4,4,F
0,380,3.43,3,M
0,480,3.4,2,F
0,560,2.71,3,F
1,480,2.91,1,M
0,740,3.31,1,M
1,800,3.74,1,F
0,400,3.38,2,F
1,640,3.94,2,F
0,580,3.46,3,F
0,620,3.69,3,F
1,580,2.86,4,F
0,560,2.52,2,M
1,480,3.58,1,M
0,660,3.49,2,M
0,700,3.82,3,F
0,600,3.13,2,M
0,640,3.5,2,M
1,700,3.56,2,F
0,520,2.73,2,M
0,580,3.3,2,M
0,700,4,1,M
0,440,3.24,4,F
0,720,3.77,3,M
0,500,4,3,M
0,600,3.62,3,M
0,400,3.51,3,F
0,540,2.81,3,M
0,680,3.48,3,M
1,800,3.43,2,F
0,500,3.53,4,F
1,620,3.37,2,F
0,520,2.62,2,F
1,620,3.23,3,F
0,620,3.33,3,M
0,300,3.01,3,F
0,620,3.78,3,M
0,500,3.88,4,M
0,700,4,2,M
1,540,3.84,2,F
0,500,2.79,4,M
0,800,3.6,2,F
0,560,3.61,3,M
0,580,2.88,2,F
0,560,3.07,2,M
0,500,3.35,2,M
1,640,2.94,2,F
0,800,3.54,3,F
0,640,3.76,3,M
0,380,3.59,4,M
1,600,3.47,2,F
0,560,3.59,2,F
0,660,3.07,3,M
1,400,3.23,4,M
0,600,3.63,3,F
0,580,3.77,4,M
0,800,3.31,3,F
1,580,3.2,2,M
1,700,4,1,M
0,420,3.92,4,M
1,600,3.89,1,F
1,780,3.8,3,F
0,740,3.54,1,F
1,640,3.63,1,M
0,540,3.16,3,M
0,580,3.5,2,F
0,740,3.34,4,F
0,580,3.02,2,M
0,460,2.87,2,M
0,640,3.38,3,M
1,600,3.56,2,M
1,660,2.91,3,F
0,340,2.9,1,M
1,460,3.64,1,M
0,460,2.98,1,F
1,560,3.59,2,F
0,540,3.28,3,F
0,680,3.99,3,F
1,480,3.02,1,F
0,800,3.47,3,F
0,800,2.9,2,M
1,720,3.5,3,M
0,620,3.58,2,M
0,540,3.02,4,F
0,480,3.43,2,F
1,720,3.42,2,M
0,580,3.29,4,F
0,600,3.28,3,F
0,380,3.38,2,M
0,420,2.67,3,F
1,800,3.53,1,F
0,620,3.05,2,F
1,660,3.49,2,M
0,480,4,2,M
0,500,2.86,4,F
0,700,3.45,3,M
0,440,2.76,2,M
1,520,3.81,1,M
1,680,2.96,3,M
0,620,3.22,2,M
0,540,3.04,1,M
0,800,3.91,3,F
0,680,3.34,2,M
0,440,3.17,2,M
0,680,3.64,3,M
0,640,3.73,3,F
0,660,3.31,4,M
0,620,3.21,4,M
1,520,4,2,M
1,540,3.55,4,M
1,740,3.52,4,M
0,640,3.35,3,M
1,520,3.3,2,M
1,620,3.95,3,F
0,520,3.51,2,F
0,640,3.81,2,M
0,680,3.11,2,M
0,440,3.15,2,F
1,520,3.19,3,M
1,620,3.95,3,M
1,520,3.9,3,F
0,380,3.34,3,F
0,560,3.24,4,M
1,600,3.64,3,M
1,680,3.46,2,F
0,500,2.81,3,M
1,640,3.95,2,F
0,540,3.33,3,M
1,680,3.67,2,M
0,660,3.32,1,F
0,520,3.12,2,M
1,600,2.98,2,F
0,460,3.77,3,F
1,580,3.58,1,M
1,680,3,4,M
1,660,3.14,2,F
0,660,3.94,2,F
0,360,3.27,3,F
0,660,3.45,4,M
0,520,3.1,4,F
1,440,3.39,2,M
0,600,3.31,4,M
1,800,3.22,1,F
1,660,3.7,4,F
0,800,3.15,4,F
0,420,2.26,4,F
1,620,3.45,2,M
0,800,2.78,2,M
0,680,3.7,2,M
0,800,3.97,1,M
0,480,2.55,1,F
0,520,3.25,3,F
0,560,3.16,1,M
0,460,3.07,2,M
0,540,3.5,2,F
0,720,3.4,3,F
0,640,3.3,2,M
1,660,3.6,3,M
1,400,3.15,2,F
1,680,3.98,2,M
0,220,2.83,3,F
0,580,3.46,4,M
1,540,3.17,1,F
0,580,3.51,2,F
0,540,3.13,2,F
0,440,2.98,3,M
0,560,4,3,F
0,660,3.67,2,M
0,660,3.77,3,M
1,520,3.65,4,F
0,540,3.46,4,F
1,300,2.84,2,M
1,340,3,2,M
1,780,3.63,4,F
1,480,3.71,4,M
0,540,3.28,1,F
0,460,3.14,3,M
0,460,3.58,2,M
0,500,3.01,4,F
0,420,2.69,2,M
0,520,2.7,3,F
0,680,3.9,1,M
0,680,3.31,2,M
1,560,3.48,2,F
0,580,3.34,2,M
0,500,2.93,4,F
0,740,4,3,M
0,660,3.59,3,M
0,420,2.96,1,F
0,560,3.43,3,F
1,460,3.64,3,M
1,620,3.71,1,M
0,520,3.15,3,M
0,620,3.09,4,M
0,540,3.2,1,M
1,660,3.47,3,M
0,500,3.23,4,F
1,560,2.65,3,F
0,500,3.95,4,F
0,580,3.06,2,M
0,520,3.35,3,F
0,500,3.03,3,M
0,600,3.35,2,F
0,580,3.8,2,F
0,400,3.36,2,M
0,620,2.85,2,F
1,780,4,2,F
0,620,3.43,3,M
1,580,3.12,3,M
0,700,3.52,2,M
1,540,3.78,2,F
1,760,2.81,1,F
0,700,3.27,2,F
0,720,3.31,1,F
1,560,3.69,3,F
0,720,3.94,3,F
1,520,4,1,F
1,540,3.49,1,F
0,680,3.14,2,M
0,460,3.44,2,F
1,560,3.36,1,F
0,480,2.78,3,F
0,460,2.93,3,M
0,620,3.63,3,F
0,580,4,1,M
0,800,3.89,2,M
1,540,3.77,2,F
1,680,3.76,3,F
1,680,2.42,1,F
1,620,3.37,1,M
0,560,3.78,2,F
0,560,3.49,4,F
0,620,3.63,2,M
1,800,4,2,F
0,640,3.12,3,F
0,540,2.7,2,M
0,700,3.65,2,M
1,540,3.49,2,M
0,540,3.51,2,F
0,660,4,1,F
1,480,2.62,2,M
0,420,3.02,1,F
1,740,3.86,2,F
0,580,3.36,2,M
0,640,3.17,2,F
0,640,3.51,2,F
1,800,3.05,2,F
1,660,3.88,2,M
1,600,3.38,3,M
1,620,3.75,2,M
1,460,3.99,3,F
0,620,4,2,F
0,560,3.04,3,M
0,460,2.63,2,M
0,700,3.65,2,F
0,600,3.89,3,M
